Unnamed: 0,id,title,rating,genre,year,has_reviews,poster_url
75.0,tt4881806,Jurassic World: Fallen Kingdom,6.1,"Action, Adventure, Sci-Fi",2018,True,
76.0,tt4912910,Mission: Impossible - Fallout,7.7,"Action, Adventure, Thriller",2018,True,
77.0,tt6966692,Green Book,8.2,"Biography, Comedy, Drama",2018,True,
78.0,tt7784604,Hereditary,7.3,"Drama, Horror, Mystery",2018,True,
79.0,tt4154756,Avengers: Infinity War,8.4,"Action, Adventure, Sci-Fi",2018,True,
80.0,tt1825683,Black Panther,7.3,"Action, Adventure, Sci-Fi",2018,True,
81.0,tt4633694,Spider-Man: Into the Spider-Verse,8.4,"Animation, Action, Adventure",2018,True,
82.0,tt6499752,Upgrade,7.5,"Action, Sci-Fi, Thriller",2018,True,
83.0,tt1259528,Den of Thieves,7.0,"Action, Crime, Drama",2018,True,
84.0,tt2798920,Annihilation,6.8,"Adventure, Drama, Horror",2018,True,
85.0,tt7040874,A Simple Favor,6.8,"Comedy, Crime, Mystery",2018,True,
86.0,tt6644200,A Quiet Place,7.5,"Drama, Horror, Sci-Fi",2018,True,
87.0,tt1677720,Ready Player One,7.4,"Action, Adventure, Sci-Fi",2018,True,
88.0,tt2704998,Game Night,6.9,"Action, Adventure, Comedy",2018,True,
89.0,tt1517451,A Star Is Born,7.6,"Drama, Music, Romance",2018,True,
90.0,tt7401588,Instant Family,7.3,"Comedy, Drama",2018,True,
91.0,tt1226837,Beautiful Boy,7.4,"Biography, Drama",2018,True,
92.0,tt1270797,Venom,6.6,"Action, Adventure, Sci-Fi",2018,True,
93.0,tt8267604,Capernaum,8.4,Drama,2018,True,
94.0,tt5083738,The Favourite,7.5,"Biography, Comedy, Drama",2018,True,
95.0,tt1727824,Bohemian Rhapsody,7.9,"Biography, Drama, Music",2018,True,
96.0,tt5463162,Deadpool 2,7.6,"Action, Adventure, Comedy",2018,True,
97.0,tt2873282,Red Sparrow,6.6,"Action, Drama, Thriller",2018,True,
98.0,tt3104988,Crazy Rich Asians,6.9,"Comedy, Drama, Romance",2018,True,
99.0,tt3778644,Solo: A Star Wars Story,6.9,"Action, Adventure, Sci-Fi",2018,True,
100.0,tt6751668,Parasite,8.5,"Drama, Thriller",2019,True,
101.0,tt7131622,Once Upon a Time... in Hollywood,7.6,"Comedy, Drama",2019,True,
102.0,tt1950186,Ford v Ferrari,8.1,"Action, Biography, Drama",2019,True,
103.0,tt4154796,Avengers: Endgame,8.4,"Action, Adventure, Sci-Fi",2019,True,
104.0,tt8946378,Knives Out,7.9,"Comedy, Crime, Drama",2019,True,
105.0,tt8772262,Midsommar,7.1,"Drama, Horror, Mystery",2019,True,
106.0,tt8367814,The Gentlemen,7.8,"Action, Crime",2019,True,
107.0,tt7547410,Dora and the Lost City of Gold,6.1,"Action, Adventure, Comedy",2019,True,
108.0,tt7286456,Joker,8.3,"Crime, Drama, Thriller",2019,True,
109.0,tt2386490,How to Train Your Dragon: The Hidden World,7.4,"Animation, Action, Adventure",2019,True,
110.0,tt6146586,John Wick: Chapter 3 - Parabellum,7.4,"Action, Crime, Drama",2019,True,
111.0,tt8579674,1917,8.2,"Action, Drama, War",2019,True,
112.0,tt6857112,Us,6.8,"Horror, Mystery, Thriller",2019,True,
113.0,tt2527338,Star Wars: Episode IX - The Rise of Skywalker,6.4,"Action, Adventure, Fantasy",2019,True,
114.0,tt1302006,The Irishman,7.8,"Biography, Crime, Drama",2019,True,
115.0,tt3281548,Little Women,7.8,"Drama, Romance",2019,True,
116.0,tt0103639,Aladdin,8.0,"Animation, Adventure, Comedy",2019,True,
117.0,tt5727208,Uncut Gems,7.4,"Crime, Drama, Thriller",2019,True,
